iter	Passed	Remaining
667	1152	572
668	1153	570
669	1155	568
670	1156	567
671	1159	565
672	1160	564
673	1162	562
674	1164	560
675	1165	558
676	1167	556
677	1168	555
678	1170	553
679	1175	553
680	1177	551
681	1179	549
682	1184	549
683	1186	548
684	1187	546
685	1188	544
686	1190	542
687	1191	540
688	1192	538
689	1194	536
690	1197	535
691	1198	533
692	1200	531
693	1201	529
694	1203	528
695	1204	526
696	1206	524
697	1207	522
698	1213	522
699	1215	520
700	1216	518
701	1218	517
702	1219	515
703	1220	513
704	1222	511
705	1223	509
706	1224	507
707	1226	505
708	1227	503
709	1229	502
710	1230	500
711	1231	498
712	1232	496
713	1234	494
714	1235	492
715	1236	490
716	1238	488
717	1239	486
718	1241	485
719	1242	483
720	1244	481
721	1245	479
722	1246	477
723	1247	475
724	1248	473
725	1249	471
726	1250	469
727	1251	467
728	1255	466
729	1256	464
730	1257	462
731	1258	460
732	1259	458
733	1260	456
734	1261	454
735	1263	453
736	1264	451
737	1265	449
738	1266	447
739	1268	445
740	1269	443
741	1270	441
742	1272	440
743	1273	438
744	1275	436
745	1276	434
746	1277	432
747	1279	431
748	1281	429
749	1283	427
750	1284	425
751	1286	424
752	1287	422
753	1288	420
754	1289	418
755	1291	416
756	1292	414
757	1293	413
758	1296	411
759	1298	410
760	1299	408
761	1300	406
762	1302	404
763	1304	403
764	1306	401
765	1307	399
766	1308	397
767	1311	396
768	1312	394
769	1313	392
770	1314	390
771	1315	388
772	1317	386
773	1318	384
774	1319	383
775	1320	381
776	1321	379
777	1322	377
778	1323	375
779	1325	373
780	1326	372
781	1327	370
782	1329	368
783	1330	366
784	1331	364
785	1332	362
786	1333	360
787	1334	358
788	1335	357
789	1336	355
790	1337	353
791	1338	351
792	1340	349
793	1341	348
794	1343	346
795	1344	344
796	1345	342
797	1347	340
798	1348	339
799	1349	337
800	1350	335
801	1351	333
802	1353	332
803	1354	330
804	1356	328
805	1357	326
806	1358	324
807	1359	323
808	1360	321
809	1362	319
810	1363	317
811	1364	315
812	1365	314
813	1367	312
814	1368	310
815	1369	308
816	1371	307
817	1372	305
818	1373	303
819	1374	301
820	1375	299
821	1376	298
822	1377	296
823	1378	294
824	1379	292
825	1380	290
826	1383	289
827	1385	287
828	1386	286
829	1388	284
830	1389	282
831	1390	280
832	1391	279
833	1392	277
834	1393	275
835	1396	273
836	1399	272
837	1400	270
838	1402	269
839	1403	267
840	1404	265
841	1405	263
842	1406	262
843	1407	260
844	1409	258
845	1415	257
846	1416	255
847	1417	254
848	1419	252
849	1420	250
850	1421	248
851	1422	247
852	1427	245
853	1429	244
854	1430	242
855	1432	240
856	1433	239
857	1434	237
858	1435	235
859	1436	233
860	1437	232
861	1440	230
862	1443	229
863	1445	227
864	1446	225
865	1448	224
866	1449	222
867	1450	220
868	1451	218
869	1454	217
870	1456	215
871	1459	214
872	1461	212
873	1462	210
874	1464	209
875	1465	207
876	1468	205
877	1470	204
878	1471	202
879	1472	200
880	1473	199
881	1475	197
882	1477	195
883	1477	193
884	1478	192
885	1480	190
886	1482	188
887	1484	187
888	1486	185
889	1487	183
890	1488	182
891	1490	180
892	1491	178
893	1492	176
894	1494	175
895	1495	173
896	1499	172
897	1500	170
898	1502	168
899	1503	167
900	1504	165
901	1506	163
902	1508	162
903	1509	160
904	1512	158
905	1513	157
906	1514	155
907	1516	153
908	1517	151
909	1519	150
910	1522	148
911	1525	147
912	1526	145
913	1527	143
914	1529	142
915	1531	140
916	1533	138
917	1536	137
918	1537	135
919	1539	133
920	1540	132
921	1541	130
922	1542	128
923	1543	126
924	1544	125
925	1545	123
926	1546	121
927	1548	120
928	1550	118
929	1551	116
930	1552	115
931	1553	113
932	1554	111
933	1555	109
934	1557	108
935	1558	106
936	1560	104
937	1561	103
938	1564	101
939	1566	100
940	1567	98
941	1569	96
942	1570	94
943	1571	93
944	1573	91
945	1574	89
946	1576	88
947	1578	86
948	1579	84
949	1580	83
950	1581	81
951	1583	79
952	1584	78
953	1585	76
954	1587	74
955	1588	73
956	1589	71
957	1591	69
958	1593	68
959	1595	66
960	1597	64
961	1599	63
962	1600	61
963	1601	59
964	1602	58
965	1605	56
966	1607	54
967	1609	53
968	1611	51
969	1612	49
970	1613	48
971	1614	46
972	1616	44
973	1617	43
974	1620	41
975	1622	39
976	1624	38
977	1625	36
978	1626	34
979	1627	33
980	1629	31
981	1630	29
982	1631	28
983	1633	26
984	1635	24
985	1637	23
986	1639	21
987	1640	19
988	1642	18
989	1643	16
990	1644	14
991	1645	13
992	1647	11
993	1649	9
994	1651	8
995	1652	6
996	1653	4
997	1654	3
998	1655	1
999	1657	0
